DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
20310,GONZÁLEZ,1164,1952,1391.4,788,1383
20383,LA GLORIA,29,2047,347.2,2018,66
20400,LA JAGUA DE IBIRICO,44,2584,250,2540,136
20443,MANAURE BALCÓN DEL CESAR,257,3281,1656.2,3024,1311
20517,PAILITAS,39,1918,504.8,1879,213
20550,PELAYA,30,1870,323,1840,166
20570,PUEBLO BELLO,252,4012,1720.1,3760,1598
20614,RÍO DE ORO,74,1573,627.2,1499,243
20621,LA PAZ,46,2508,417.1,2462,191
20710,SAN ALBERTO,44,2535,315.8,2491,72
20750,SAN DIEGO,51,161,93.4,110,98
20770,SAN MARTÍN,42,867,150,825,74
20787,TAMALAMEQUE,22,62,36.1,40,37
23001,MONTERÍA,12,188,75.2,176,47
23068,AYAPEL,16,82,32.6,66,19
23079,BUENAVISTA,22,94,40.7,72,58
23090,CANALETE,46,202,114.6,156,110
23162,CERETÉ,8,151,29.2,143,16
23168,CHIMÁ,2,83,21.2,81,4
23182,CHINÚ,6,162,73.2,156,74
23189,CIÉNAGA DE ORO,2,301,83.9,299,27
23300,COTORRA,0,11,4.9,11,5
23350,LA APARTADA,30,95,56.1,65,46
23417,LORICA,0,140,33,140,38
23419,LOS CÓRDOBAS,4,265,55.2,261,75
23464,MOMIL,1,84,32.7,83,20
23466,MONTELÍBANO,39,672,183.8,633,218
23500,MOÑITOS,0,144,39.4,144,64
23555,PLANETA RICA,25,212,74.6,187,50
23570,PUEBLO NUEVO,24,222,83,198,54
23574,PUERTO ESCONDIDO,0,119,35.5,119,27
23580,PUERTO LIBERTADOR,46,2171,474,2125,292
23586,PURÍSIMA DE LA CONCEPCIÓN,3,175,49.5,172,59
23660,SAHAGÚN,10,142,75.9,132,100
23670,SAN ANDRÉS DE SOTAVENTO,10,176,82.9,166,79
23672,SAN ANTERO,-3,185,36.3,188,15
23675,SAN BERNARDO DEL VIENTO,0,104,20.7,104,3
23678,SAN CARLOS,8,311,87.3,303,50
23682,SAN JOSÉ DE URÉ,43,1134,190.5,1091,151
23686,SAN PELAYO,5,126,32.7,121,26
23807,TIERRALTA,31,1578,327.9,1547,488
23815,TUCHÍN,28,141,69.3,113,76
23855,VALENCIA,32,326,122.6,294,210
25001,AGUA DE DIOS,287,1008,391.4,721,376
25019,ALBÁN,1170,3079,1878.1,1909,2128
25035,ANAPOIMA,462,1396,806.4,934,719
25040,ANOLAIMA,959,3172,1740.8,2213,1531
25053,ARBELÁEZ,507,3746,1585.1,3239,1926
25086,BELTRÁN,209,1644,558.6,1435,438
25095,BITUIMA,986,2186,1465.7,1200,1466
25099,BOJACÁ,1901,2824,2534.3,923,2702
25120,CABRERA,1713,3826,3017,2113,2664
25123,CACHIPAY,700,2309,1416.9,1609,1353
25126,CAJICÁ,2547,3071,2698.9,524,2562
25148,CAPARRAPÍ,252,1920,915.5,1668,702
